License Type Name,County Name,Premises Name,DBA,Address,City,State,Zip,Neighborhood
LIQUOR STORE,NEW YORK,SEYOPP CORPORATION,QUALITY HOUSE WINE & SPIRITS,2 PARK AVE 33RD ST STORE,NEW YORK,NY,10016,
LIQUOR STORE,NEW YORK,THOMAS J MCADAM LIQUORS INC,AMERICA'S WINE SHOP / MCADAM BUYRITE,398 3RD AVENUE,NEW YORK,NY,10016,
LIQUOR STORE,NEW YORK,WINFIELD FLYNN LTD,,558 3RD AVENUE,NEW YORK,NY,10016,
LIQUOR STORE,NEW YORK,BEEKMAN LIQUORS INC,,500 LEXINGTON AVENUE,NEW YORK,NY,10017,
LIQUOR STORE,NEW YORK,P H A J INC,SUSSEX WINE & SPIRITS,300 E 42ND STREET,NEW YORK,NY,10017,
LIQUOR STORE,NEW YORK,TURTLE BAY LIQUORS INC,,855 2ND AVENUE,NEW YORK,NY,10017,
LIQUOR STORE,NEW YORK,CAMBRIDGE WINES & LIQUORS INC,,594 8TH AVENUE,NEW YORK,NY,10018,
LIQUOR STORE,NEW YORK,GM & M RETAIL LIQUOR INC,,302 W 40TH STREET,NEW YORK,NY,10018,
LIQUOR STORE,NEW YORK,36TH STREET WINE & LIQUOR INC,HARRYS LIQUOR STORE,270 W 36TH STREET,NEW YORK,NY,10018,
LIQUOR STORE,NEW YORK,CHOSEN TRADING CORP,54 WINES & SPIRITS,400 WEST 55TH ST AKA 839 9TH A,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,CARNEGIE SPIRITS LTD,,849 7TH AVENUE,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,ADRIATIC WINE & LIQUOR LLC,ADRIATIC WINE & LIQ STORE,714 10TH AVENUE,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,NINTH AVENUE WINE & LIQ CORP,,860 9TH AVENUE,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,O'RYAN PACKAGE STORE INC,,1424 AVENUE OF THE AMERICAS,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,RAY & FRANK LIQUOR STORE INC,,706 9TH AVENUE,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,SHON 45 LIQUORS INC,,840 8TH AVENUE,NEW YORK,NY,10019,
LIQUOR STORE,NEW YORK,MORRELL & COMPANY,THE WINE EMPORIUM LTD,1 ROCKEFELLER PLAZA,NEW YORK,NY,10020,
LIQUOR STORE,NEW YORK,B & M LIQUORS INC,MCCABES FINE WINES & SPIRITS,200 E 77 ST  AKA 1347 3RD AVE,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,BACCUS INC,IN VINO VERITAS,1375 1ST AVE,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,DIANE SERRA INC,GOTHAM WINE & LIQUOR,2513 2517 BROADWAY,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,JAMIL LIQUORS INC,EAST RIVER LIQUORS,1364 YORK AVENUE,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,NEW EMBASSY LIQUORS INC,,796 LEXINGTON AVENUE,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,SHERRY LEHMANN INC,,505 PARK AVENUE,NEW YORK,NY,10022,
LIQUOR STORE,NEW YORK,1158 LIQUOR CORP,CORK & BOTTLE,1158 1ST AVENUE,NEW YORK,NY,10065,
LIQUOR STORE,NEW YORK,76 LIQUORS LTD,,1473 1ST AVENUE,NEW YORK,NY,10021,
LIQUOR STORE,NEW YORK,WAH YUN INC,AMERICAN FIRST LIQUORS,1059 1ST AVENUE,NEW YORK,NY,10022,
LIQUOR STORE,NEW YORK,YOU AND ME WINES & LIQUORS INC,300 EAST 54TH ST/DBA: AMBASSADOR WINES & SPIRITS,1020 2ND AVENUE,NEW YORK,NY,10022,
LIQUOR STORE,NEW YORK,ACKER MERRALL & CONDIT CO INC,,160 W 72ND STREET,NEW YORK,NY,10023,
LIQUOR STORE,NEW YORK,FUNSAN K CORP,BEACON WINE & SPIRITS,2120 BROADWAY,NEW YORK,NY,10023,
LIQUOR STORE,NEW YORK,JOAN BERTOLI INC,NEW EHRLICH WINE & LIQUOR,222 AMSTERDAM AVENUE,NEW YORK,NY,10023,
LIQUOR STORE,NEW YORK,"67 LIQUOR SHOP INC,THE",WALL STREET WINE TRADER,179 COLUMBUS AVENUE,NEW YORK,NY,10023,
LIQUOR STORE,NEW YORK,C Y NEW CORP,MITCHELLS WINES & LIQUORS,200 W 86TH STREET,NEW YORK,NY,10024,
LIQUOR STORE,NEW YORK,ROSE WINES & LIQUORS CORP,81ST STREET LIQUOR STORE,449 COLUMBUS AVENUE,NEW YORK,NY,10024,
LIQUOR STORE,NEW YORK,536 J & J CORPORATION,THE 86 CORNER WINE & LIQUOR,536 COLUMBUS AVENUE,NEW YORK,NY,10024,
LIQUOR STORE,NEW YORK,79TH ST WINE & SPIRITS CORP,,230 W 79TH STREET,NEW YORK,NY,10024,
LIQUOR STORE,NEW YORK,ADEL WINE & LIQUORS INC,,925 COLUMBUS AVENUE,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,COLUMBUS AVE SPIRITS CORP,,730 COLUMBUS AVE,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,HERE WEGO LIQUORS INC,ROMA WINES & LIQUORS,737 AMSTERDAM AVENUE,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,TREJO LIQUORS INC,TREJO LIQUORS,948 AMSTERDAM AVE,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,LEXINGTON WINES & LIQUORS INC,,2010 LEXINGTON AVE,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,MARTIN BROTHERS WINE & LIQ INC,,2781 BROADWAY,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,1996 CORPORATION,INTERNATIONAL WINE & SPIRITS,2903 BROADWAY,NEW YORK,NY,10025,
LIQUOR STORE,NEW YORK,FREDS LIQUORS INC,,77 LENOX AVENUE,NEW YORK,NY,10026,
LIQUOR STORE,NEW YORK,MERCEDES LIQUOR STORE CORP,MERCEDES LIQUORS,102 04 E 103RD STREET,NEW YORK,NY,10029,
LIQUOR STORE,NEW YORK,AUGUSTINE WINE & LIQUOR INC,BRANDS LIQUORS,546 50 W 145TH STREET,NEW YORK,NY,10031,
LIQUOR STORE,NEW YORK,ERNESTO FERNANDEZ,,114 AUDUBON AVENUE,NEW YORK,NY,10032,
LIQUOR STORE,NEW YORK,CABRINI WINE & LIQUORS INC,CABRINI LIQUORS,831 833 W 181ST STREET,NEW YORK,NY,10033,
LIQUOR STORE,NEW YORK,PJ WINE INC,PJWINE.COM,4898 BROADWAY,NEW YORK,NY,10034,
LIQUOR STORE,NEW YORK,NINTH AVENUE VINTNER LTD,,669 9TH AVENUE,NEW YORK,NY,10036,
LIQUOR STORE,NEW YORK,REIDY WINE & LIQUOR CO INC,PROPPER SHOP,762 8TH AVENUE,NEW YORK,NY,10036,
LIQUOR STORE,NEW YORK,42 & 10TH SPIRITS LTD,42ND ST. WINE LOFT,507 W 42ND STREET,NEW YORK,NY,10036,
LIQUOR STORE,NEW YORK,589 NINTH AVENUE CORP,MANHATTAN PLAZA WINERY,589 9TH AVENUE,NEW YORK,NY,10036,
LIQUOR STORE,NEW YORK,DYCKMAN LIQUORS INC,,113 121 DYCKMAN STREET,NEW YORK,NY,10040,
LIQUOR STORE,NEW YORK,KO LIQUORS INC,PARK EAST LIQUORS,1657 YORK AVE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,MISTER WRIGHT INC,,1593 3RD AVENUE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,NORMANDIE WINES INC,,1834 2ND AVENUE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,R L G LIQUORS INC,EAST 87 WINE TRADERS,1693 2ND AVENUE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,UPTOWN WINE SHOP INC,,1361 LEXINGTON AVE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,WEST COAST WINES & LIQUORS INC,,1440 LEXINGTON AVENUE,NEW YORK,NY,10128,
LIQUOR STORE,NEW YORK,BULLS & BEARS WINERY INC,,309 SOUTH END AVENUE,NEW YORK,NY,10280,
WHOLESALE LIQUOR,NEW YORK,MONSIEUR TOUTON SELECTION LTD,C S DISTRIBUTORS CO & VTS,129 W 27TH ST,NEW YORK,NY,10001,
WHOLESALE LIQUOR,NEW YORK,VIAS IMPORTS LTD,VIAS IMPORTS,875 AVENUE OF THE AMERICAS,NEW YORK,NY,10001,
WHOLESALE LIQUOR,NEW YORK,GOLDEN EAGLE TRADING CORP,,17 PIKE ST,NEW YORK,NY,10002,
WHOLESALE LIQUOR,NEW YORK,USA WINE IMPORTS INC,,285 W BROADWAY,NEW YORK,NY,10013,
WHOLESALE LIQUOR,NEW YORK,MOET HENNESSY USA INC,SCHIEFFELIN & CO.,85 10TH AVENUE,NEW YORK,NY,10011,
WHOLESALE LIQUOR,NEW YORK,REMY COINTREAU USA INC,REMY AMERIQUE,1290 AVE OF THE AMERICAS,NEW YORK,NY,10104,
WHOLESALE LIQUOR,NEW YORK,FREDERICK WILDMAN & SONS LTD,,307 E 53RD ST,NEW YORK,NY,10022,
WHOLESALE LIQUOR,NEW YORK,BNP DISTRIBUTING CO INC,,340 E 93RD STREET   SUITE 12J,NEW YORK,NY,10128,
WHOLESALE LIQUOR,NEW YORK,DREYFUS ASHBY INC,,630 3RD AVE 15TH FLOOR,NEW YORK,NY,10017,
ON-PREMISES LIQUOR,NEW YORK,CALSHEA RESTAURANT CORP,THE TRIPLE CROWN,330 7TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,CO'R RESTAURANT L L C,O'REILLY'S PUB & RESTAURANT,56 W 31ST STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,G G P BAR & GRILL CORP,KASTELI 11,372 8TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,GARRYMORE RESTAURANT INC,NILES,371 7TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,GENTS ENTERPRISES INC,KABOOZ'S BAR & GRILL,PENN STATION-MAIN CONCOURSE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,GOURMET MANAGEMENT CORP,T G I FRIDAYS,PENNSYLVANIA STATION,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,HANBAT RESTAURANT INC,,53 W 35TH STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,N & A PRODUCTIONS INC,,27 W 35TH ST,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,NATURAL TOFU RESTAURANT CORP,SEOUL GARDEN,34 W 32ND ST 2ND FLOOR,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,PINE TREE HOUSE INC,KANG SUH RESTAURANT,1250 BROADWAY,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,SALUMERIA BIELLESE INC,,376 378 8TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,SERVICE AMERICA CORPORATION/JACOB K JAVITS CON CNT,CENTERPLATE,655 W 34TH STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,TOLEDO 35 INC,CHODANGGOL,55 W 35TH STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,VELKONEL RESTAURANT INC,CAFE 31,220 W 31ST STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,WALTERS BAR INC,,389 8TH AVE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,WALTPETERICH RESTAURANT INC,FOLEYS NY PUB  & RESTAURANT,18 W 33RD STREET,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,34TH STREET DINER INC,TRATTORIA BIANCA,481 8TH AVE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,350 SEVENTH AVE REST CORP,,350 7TH AVE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,352 RESTAURANT CORP,,352 7TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,400 WEST 23RD STREET REST CORP,THE RAIL LINE DINER,400 W 23RD STREET,NEW YORK,NY,10011,
ON-PREMISES LIQUOR,NEW YORK,402 EIGHTH AVENUE REST INC,MOLLY WEE PUB,402 8TH AVENUE,NEW YORK,NY,10001,
ON-PREMISES LIQUOR,NEW YORK,COCKTAIL BLUE LLC,THE BOWERY BALLROOM,6 8 DELANCEY STREET,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,PASTA & POTATOES INC,VILLAGE LANTERN,167 BLEECKER ST,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,RIVINGTON CAFE CORP,WELCOME TO THE JOHNSON'S,123 RIVINGTON STREET,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,S W MONTE INC,THE MERCURY LOUNGE,217 E HOUSTON ST,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,SAFF INC,SAPPHIRE LOUNGE,249 ELDRIDGE STREET,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,STERLING PARKSIDE CORP,PARKSIDE LOUNGE,317 E HOUSTON STREET,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,SWOON CORP,THE WHISKEY WARD,121 ESSEX ST,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,95 STANTON STREET REST INC,ARLENE'S GROCERY,95 STANTON ST,NEW YORK,NY,10002,
ON-PREMISES LIQUOR,NEW YORK,A T WEST 16TH ENTERPRISES LTD,CAMPEON,9 11 E 16TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,ABC HOME FURNISHINGS INC & VONGERICHTEN/SUAREZ LLC,PARLOUR CAFE,38 E 19TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,ALLEGRA ALLEGRA INC,LA LINEA,15 1ST AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,BEAU MAISON CORP,EL CANTINERO,86 UNIVERSITY PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,BLUE & GOLD BAR INC,,79 E 7TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,CATAHULA INC,THE EDGE,91 97 E 3RD STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,DIFT LLC AND SWEET HOSPITALITY GROUP,DARYL ROTH THEATER,20 UNION SQUARE EAST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,FELLOW TRAVELERS LTD,THREE OF CUPS,83 1ST AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,GARDEN CAFE ASSOC LP SULCATA CORP GP & 3LPS,B BAR & GRILL,40 EAST 4TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,HASAKI RESTAURANT INC,,210 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,HAVELI RESTAURANT INC,,100 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,HUNG TA CORP,LE ZEN CAFE,31 ST MARKS PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,12 EAST 12 ASSOCIATES LP,GOTHAM BAR & GRILL,12 E 12TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,JIM GILES CORP,THE CENTRAL BAR,109 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,JINX PROOF L L C,BEAUTY BAR,231 E 14TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,JUDEX ENTERPRISES INC,PANGEA,178 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,KANAE INC,,11 ST MARKS PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,KRAINE GALLERY BAR INC,K G B BAR,85 E 4TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,LEX 18 INC,YAKITORI TAISHO,5 ST MARKS PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,LONGFORD INC,BAR NONE,98 3RD AVE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,ME KONG DELTA INC,REPUBLIC,37A UNION SQUARE WEST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,MEATH TRAILS INC,DEMPSEYS PUB,61 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,MERLAGRE INC,PAUL & JIMMYS RESTAURANT,123 EAST 18TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,MSD ENTERPRISES INC,VIRAGE,118 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,N Y RESTAURANT SUPPLIES INC,PANYA,29 3RD AVE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,NEW YORK SHAKESPEARE FESTIVAL & JOES PUB LLC/ MGR,,425 LAFAYETTE ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,P P K BAR & RESTAURANT INC,ST MARK'S ALE HOUSE,2 ST MARKS PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,PAPI LUIS CORP,ANYWAY CAFE,32 34 E 2ND STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,PATAIDEN FOOD & DRINK INC,MAGUIRES PUB,237 3RD AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,R & A EAST 16TH ASSOC PTNR TEXAS TACOS CORP &,8 EAST ENTR - DBA: CHAT & CHEW,8 12 E 16TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,REQUISITE BOOTIE INC,LUCIEN,14 1ST AVENUE,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,ROSS KELLY INC,FISH BAR,237 E 5TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,SHARAKU INC,,14-16 STUYVESANT ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,SILVET RESTAURANT CORP,IL CANTINORI,32 E 10TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,SOUTH CHINA SEA REST CO INC,INDOCHINE,430 LAFAYETTE STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,STEEPLECHASE INC,PARK BAR,19 E 15TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,"CLOISTER EAST INC,THE",CLOISTER CAFE,238 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,"SCRATCHER CAFE INC,THE",,209 EAST 5TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,"WATERING HOLE OF 2ND AVE CORP,THE",THE QUEEN VIC,68 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,TOKYO MAMA INC,,240 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,TOMI NEW YORK INC,,239 E 53RD ST,NEW YORK,NY,10022,
ON-PREMISES LIQUOR,NEW YORK,TOMKIN SQUARE KIDS INC,BIG BAR,73 75 E 7TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,TWO AND EIGHT GOURMET LTD,DALLAS BBQ,132 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,VANESSA REALTY CORP,CUCINA DE PESCE,87 E 4TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,W C O U RADIO INC,,115 1ST AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,YERINA RESTAURANT CORP,ARTE RESTAURANT,21 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,TSAMPA INC,212 HISAE'S,212 E 9TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,SHADES OF GREEN LLC,,125 E 15TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,129 EAST 15TH BAR CORP,,129 E 15TH ST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,155 SECOND AVE REST INC,THE THIRSTY SCHOLAR,155 2ND AVENUE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,29 ST MARKS PLACE REST INC,BULL MCCABES,29 ST MARKS PLACE,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,31 UNION SQUARE WEST LLC,BLUE WATER GRILL,31 UNION SQUARE WEST,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,EAST VILLAGE 4TH STREET CAFE INC,STILLWATERS BAR & GRILL,78 80 E 4TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,9TH STREET VENTURE LTD,SOLAS,232 E 9TH STREET,NEW YORK,NY,10003,
ON-PREMISES LIQUOR,NEW YORK,FONTANA RESTAURANT CORP,JOSEPH'S,3 HANOVER SQUARE,NEW YORK,NY,10004,
ON-PREMISES LIQUOR,NEW YORK,OCINOMLED LTD,DELMONICO RESTAURANT,56 BEAVER ST,NEW YORK,NY,10004,
ON-PREMISES LIQUOR,NEW YORK,47 REALOPP CORP,TGI FRIDAYS,47 BROADWAY,NEW YORK,NY,10004,
ON-PREMISES LIQUOR,NEW YORK,DONORE CORP,THE IRISH PUNT,40 EXCHANGE PLACE,NEW YORK,NY,10005,
ON-PREMISES LIQUOR,NEW YORK,RATHNALLY CORP,THE FULL SHILLING,160 PEARL ST,NEW YORK,NY,10005,
ON-PREMISES LIQUOR,NEW YORK,COPAT RESTAURANT INC,O'HARA'S RESTAURANT,120 CEDAR ST,NEW YORK,NY,10006,
ON-PREMISES LIQUOR,NEW YORK,KEITH RESTAURANT INC,CHINA CHALET RESTAURANT,47 BROADWAY,NEW YORK,NY,10006,
ON-PREMISES LIQUOR,NEW YORK,CAPTAIN MIKES SEAFOOD REST INC,MUDVILLE 9,126 CHAMBERS STREET,NEW YORK,NY,10007,
ON-PREMISES LIQUOR,NEW YORK,GARANGA CORPORATION,RACCOON LODGE,59 WARREN STREET,NEW YORK,NY,10007,
ON-PREMISES LIQUOR,NEW YORK,MYRTLE FOOD BEVERAGES INC,TRIBECA TAVERN,15 6TH AVENUE,NEW YORK,NY,10013,
ON-PREMISES LIQUOR,NEW YORK,11 WAVERLY PUB LTD,JOSIE WOOD'S PUB,11 WAVERLY PLACE,NEW YORK,NY,10007,
ON-PREMISES LIQUOR,NEW YORK,ALOUETTE CORPORATION,TEN DEGREES BISTRO,131 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,CRAWFORD FLICK INC,,7 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,CULLEN RESTAURANT INC,ST DYMPHNA'S,118 ST MARKS PLACE,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,EAE CORP,SIDEWALK BAR & RESTAURANT,94 96 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,FRIDA & DIEGO CORP,,211 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,162 4 AVE B BAR,DREAM BABY,162 164 AVENUE B,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,LOVE PICIN INC,COYOTE UGLY SALOON,153 1ST AVENUE,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,LUDWIKA MICKEVICIUS,BLANCHES TAVERN,135 AVE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,MOONWALKERS RESTAURANT CORP,PYRAMID,101 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,NEW STATFORD RESTAURANT INC,TEN DEGREES,121 ST MARKS PLACE,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,ODESSA RESTAURANT INC,ODESSA,117 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,PARALLEL BAR INC,THE SUMMIT BAR,133 AVE C,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,PATTY MC CARTHYS INC,HI-FI,169 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,RESTAURANT 192 FINALLY INC,STAIRS BAR & LOUNGE,192 E 2ND STREET,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,SEVEN A CAFE INC,,130 E 7TH STREET,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,ST MARKS ENTERPRISES INC,VBAR ST MARKS,132 1ST AVENUE,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,SWAUTO LTD,,25 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,"197 ARTICHOKE CORP, THE",NO MALICE PALACE,197 E 3RD ST,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,THUNDERBOLT CORP,ACE,531 E 5TH STREET,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,WISHBONE PRODUCTIONS INC,DOC HOLIDAYS,141 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,119 AVENUE A RESTAURANT CORP,ODESSA RESTAURANT,119 AVENUE A,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,177 CHRISTIE INC,ESPERANTO,145 AVE C,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,219 AVENUE B MUSIC LOUNGE INC,REVISION LOUNGE AND GALLERY,219 AVENUE B,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,224 AVENUE B INC,,224 AVENUE B,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,510 EAST 11TH STREET CORP,THE 11TH STREET BAR,510 E 11TH STREET,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,732 BELLA INC,BLACK & WHITE,86 E 10TH ST,NEW YORK,NY,10009,
ON-PREMISES LIQUOR,NEW YORK,BARFLY INC,,244 3RD AVENUE,NEW YORK,NY,100107435,
ON-PREMISES LIQUOR,NEW YORK,GIORGIOS OF GRAMERCY INC,GIORGIOS OF GRAMERCY,27 E 21ST ST,NEW YORK,NY,10010,
ON-PREMISES LIQUOR,NEW YORK,HILLSTONE RESTAURANT GROUP INC,HILLSTONE RESTAURANT,51 MADISON AVE,NEW YORK,NY,10010,
ON-PREMISES LIQUOR,NEW YORK,INISHOWEN INC,MOLLY'S,287 3RD AVENUE,NEW YORK,NY,10010,
ON-PREMISES LIQUOR,NEW YORK,MEG RESTAURANT ENTERPRISES LTD,NOVITA,102 E 22ND STREET,NEW YORK,NY,10010,
ON-PREMISES LIQUOR,NEW YORK,THEMEFOOD INC,LIVE BAIT,14 E 23RD STREET,NEW YORK,NY,10010,
ON-PREMISES LIQUOR,NEW YORK,336 PUB INC,FITZGERALDS PUB,336 3RD AVE,NEW YORK,NY,10010,
