Zip Code,Dog Name,Animal Gender
10024,CASSIDY,F
10314,PUGSLEY,M
10314,DIESEL,M
10308,MISSY,F
11414,MISSY,F
11358,MR.,M
11228,EMMY,F
10469,IRISH,M
11355,PUCHI,M
11377,SOPHIA,F
10128,KELSEY,F
10024,MAX,M
11220,JOEY,M
10475,HARRY,M
11105,SIDHARTHA,F
11697,NAME NOT PROVIDED,F
11432,YOKI,F
10301,MELLIE,F
10312,COCO,F
11379,PEARL,F
11379,KIMBA,F
10128,PUCK,M
10003,MARTHA,F
10024,MACBETH,M
10461,BUDDY,M
10470,MITTENS,F
10314,SOULFULLIL,F
10029,GERTIE,F
10314,JACKSON,M
10463,ROSCOE,M
11375,YODA,M
11357,LITTLE,M
11204,OREO,F
10306,RUSTY,M
10473,MAIZEI,F
10010,BUSTER,M
10022,SPUNKY,M
10027,MAGOO,M
10016,MAX,M
11234,DJ,M
10014,GEORGE,M
11238,TRUMAN,M
10465,BARKLEY,M
10019,MOLLY,F
10312,TIKI,F
10312,PEPSI,F
11418,CINDY,F
11204,PEANUT,M
11215,BUDDY,M
11364,MAXINE,F
10010,ROY,M
10019,CLARENCE,M
10306,MASIK,M
11374,DUQUE,M
10009,MONDAY,F
11436,BOSCO,M
11220,TIGGER,F
10024,WHOOPIBELL,F
11219,SHEA,M
10025,BUCKLEY,M
10309,GEORGE,M
10036,LUCAS,M
10028,SWEETIE,F
11364,GEORGIE,M
11365,MUFFIN,M
10016,MARLEY,F
11354,HOLLIE,M
10024,BESSIE,F
10303,CHULA,M
11354,DUTCHESS,F
10012,LACEY,F
10012,CAGNEY,M
11223,NIKKI,F
11228,DEMETRI,M
11105,BRANDY,F
11414,XENA,F
10022,CLOHE,F
11201,CHI,M
10028,ALYCE,F
10310,LILY,F
11211,FOX,M
11364,PENNY,F
11354,FRED,M
10031,FUDGE,M
10001,ARCHIE,M
10453,PERCY,M
10022,SPICE,F
10022,SUGAR,F
10003,INDIANA,F
11229,WOODSTOCK,M
11423,SWEETY,F
11208,NAME NOT PROVIDED,F
11361,MAX,M
10024,DAISY,F
10306,DESTINY,F
11234,CARMINE,M
11355,MELODY,F
10314,CHICO,M
10011,DANI,M
11372,BARKER,M
10019,MR.,M
10021,PEBBLES,F
11385,MAX,M
10473,LUCKY,M
10465,MAX,M
10304,MAX,M
10314,SABRETT,F
11102,HANK,M
10025,BEBOP,F
11427,JAKE,M
10128,RUSTY,M
10022,MINI-MI,F
10029,WILLOUGHBY,M
11378,SWEETPETEY,M
10473,RUSKY,M
11379,OREO,F
10021,TRUMAN,M
10028,MAGGIE,F
11106,KILROY,M
10463,DAISY,F
10032,MOLLY,F
11368,GINGER,F
11364,TIFFANY,F
11374,BARKIE,M
10013,ANGEL,M
11375,BOBO,F
11223,COOKIE,F
10314,JAKE,M
10021,HEIDI,F
10128,LEONARDO,M
11362,PIERRE,M
10026,OYOYO,F
10009,ROXY,F
11220,PICKLES,F
11379,MACKS,M
11375,LOGAN,M
10028,INDIE,F
11234,BIJAN,M
10022,NAME NOT PROVIDED,M
11234,SANDY,F
11222,OREO,M
10313,SNUGGLES,M
11427,BUFFY,M
11364,PUDDIN,F
10301,BULLY,M
10464,SMUDGE,M
11414,JACK,M
11360,CHIBIE,F
10128,ISABELLE,F
10021,ZOE,F
10025,HERSHEY,M
10312,WINSTON,M
11231,AMAYA,F
11417,LUCKY,M
11357,MALIBU,F
10024,BEN,M
10028,ODYSSEUS,M
11214,BELLA,F
10312,CLEO,F
10028,DAISY,F
10003,MISHA,F
10033,AGNES,F
11238,SIEGFRIED,M
11204,TEDDY,M
10312,DIXIE,F
10128,LUCY,F
11228,JINGLESBEL,F
10028,MAGOO,F
11209,LILLY,F
11223,CLEO,M
10022,MOLLY,F
11201,MAGGIE,F
10312,CHUBBY,M
11229,GERRIT,M
10024,PAL,M
10013,BADGER,M
11234,CODY,F
10306,BAILEY,M
10301,MUZZIE,M
10069,NOEL,M
11418,MISS,F
10128,ALFIE,M
10280,MOCHA,F
10473,RUBY,F
10128,PRINCE,M
10022,JACQUES,M
10310,TEDDY,M
10009,LUCKI,M
11231,SAMMY,M
10023,CHESTER,M
11220,BLANCA,F
10301,CHARLIE,M
10128,ANNABELLE,F
11367,CINDI,F
11357,CHARLIE,M
10003,IVORY,F
11220,PRINCESS,F
11211,ELVIS,M
10013,MENA,F
11375,VITA,F
11204,BABETTE,F
11421,GIN,F
11355,BLOSSUM,F
10025,MILLICENT,F
10467,CHICA,F
11207,TAZ,F
10014,BILLIEMAPL,F
10069,JAVA,F
10453,LULU,F
11373,DOLLY,F
11207,KENDINA,F
11357,DIVA,F
11385,SPANKY,M
10312,BUSTER,M
11230,ROMEO,M
10305,NAME NOT PROVIDED,M
11236,COKIE,F
11385,HARLEY,M
10309,OREO,F
10305,NOAH,M
10472,BENGY,M
10022,ARCHIE,M
10463,LUCKY,F
10011,GRACIE,F
11218,CHRISTOPHER,M
10021,MONTE,M
11379,SKIPPY,M
11231,KOKOPELLI,F
11370,METSIE,F
11375,DIESEL,M
10024,COCO,F
10025,CHARLEY,M
11229,BUDDY,M
11234,LORD,M
11206,COCCO,M
10003,BILLY,F
11235,MUFFIN,F
10467,PRINCESS,F
10473,JETER,M
10023,JOEY,M
10314,MONTE,M
10024,POTTER,M
10314,TYLER,M
10011,LUCY,F
10309,NIKKI,M
10460,TINY,M
11360,PUGSLEY,M
10040,SNOOPY,M
11234,TEDDY,M
10467,SHORTBREAD,M
10022,MOE,M
11377,BOBBY,M
10002,POOH,F
10010,DOTTIE,F
11364,BRINKS,M
10128,GINJI,F
11102,CUDDLES,F
10456,RUSTY,M
10021,WINSTON,M
10024,PITIN,M
10014,DUKE,M
10305,JACK,M
10305,KOBI,M
